Jurisdiction Slug (Do not change),Permit Type Name (Do not change),Permit Type Code (Do not change),"Energy Step Required (0, 3, 4, or 5)","Zero Carbon Step Required (0, 1, 2, 3, or 4)"
village-of-radium-hot-springs,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-radium-hot-springs,4+ Unit housing,medium_residential,,
village-of-sayward,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-sayward,4+ Unit housing,medium_residential,,
village-of-slocan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-slocan,4+ Unit housing,medium_residential,,
village-of-tahsis,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-tahsis,4+ Unit housing,medium_residential,,
village-of-valemount,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
village-of-valemount,4+ Unit housing,medium_residential,,
