Jurisdiction Slug (Do not change),Permit Type Name (Do not change),Permit Type Code (Do not change),"Energy Step Required (0, 3, 4, or 5)","Zero Carbon Step Required (0, 1, 2, 3, or 4)"
city-of-mission,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-mission,4+ Unit housing,medium_residential,,
city-of-nanaimo,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-nanaimo,4+ Unit housing,medium_residential,,
city-of-parksville,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-parksville,4+ Unit housing,medium_residential,,
city-of-pitt-meadows,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-pitt-meadows,4+ Unit housing,medium_residential,,
city-of-port-alberni,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-port-alberni,4+ Unit housing,medium_residential,,
city-of-port-moody,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-port-moody,4+ Unit housing,medium_residential,,
city-of-powell-river,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-powell-river,4+ Unit housing,medium_residential,,
city-of-prince-george,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-prince-george,4+ Unit housing,medium_residential,,
city-of-prince-rupert,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-prince-rupert,4+ Unit housing,medium_residential,,
city-of-quesnel,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-quesnel,4+ Unit housing,medium_residential,,
city-of-revelstoke,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-revelstoke,4+ Unit housing,medium_residential,,
city-of-richmond,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-richmond,4+ Unit housing,medium_residential,,
city-of-salmon-arm,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-salmon-arm,4+ Unit housing,medium_residential,,
city-of-surrey,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-surrey,4+ Unit housing,medium_residential,,
city-of-terrace,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-terrace,4+ Unit housing,medium_residential,,
city-of-trail,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-trail,4+ Unit housing,medium_residential,,
city-of-vancouver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-vancouver,4+ Unit housing,medium_residential,,
city-of-west-kelowna,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-west-kelowna,4+ Unit housing,medium_residential,,
city-of-williams-lake,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
city-of-williams-lake,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-courtenay,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-courtenay,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-cranbrook,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-cranbrook,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-dawson-creek,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-dawson-creek,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-duncan,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-duncan,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-enderby,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-enderby,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-fernie,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-fernie,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-grand-forks,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-grand-forks,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-greenwood,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-greenwood,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-nelson,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-nelson,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-new-westminster,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-new-westminster,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-north-vancouver,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-north-vancouver,4+ Unit housing,medium_residential,,
corporation-of-the-city-of-penticton,Small-scale/Multi-unit housing (Part 9 BCBC),low_residential,,
corporation-of-the-city-of-penticton,4+ Unit housing,medium_residential,,
